,hstep_extension,MAE
0,1.0,1.1068982953040334
1,2.0,0.962408042017373
2,3.0,0.8349567670328764
3,4.0,0.8501621206612787
4,5.0,0.9163656528523134
5,6.0,0.956305175680483
6,7.0,0.9871385137611263
7,8.0,0.9982310446625547
8,9.0,0.9250906822780668
9,10.0,1.0531495296322797
10,11.0,0.9598672834677459
11,12.0,1.0630663259422726
12,13.0,1.0013425504180733
13,14.0,1.013790476929367
14,15.0,0.9695956844020469
15,16.0,0.9830985790057405
16,17.0,0.9701644056709671
17,18.0,1.0522422817862096
18,19.0,0.9981058233257883
19,20.0,1.0185639159958746
20,21.0,1.0088084905443757
21,22.0,1.048365224875352
22,23.0,1.1316406253439695
23,24.0,1.040961229858503
24,25.0,1.0690289922115082
25,26.0,1.1326227613710655
26,27.0,0.9949329287412034
27,28.0,1.080021658814555
28,29.0,0.9855410641255915
29,30.0,1.087310294902967
30,31.0,1.1421403569925108
31,32.0,1.19934102507265
32,33.0,1.0677774906579605
33,34.0,1.245349412472877
34,35.0,1.31722543371153
35,36.0,1.183464108589502
36,37.0,1.1945143583740827
37,38.0,1.1849753772320502
38,39.0,1.1091413728619925
39,40.0,1.1938202194044747
40,41.0,1.0606870732566265
41,42.0,1.1125300336091932
42,43.0,1.1218668807554506
43,44.0,1.263121793419631
44,45.0,1.1249139751656165
45,46.0,1.195905051090955
46,47.0,1.2169777843211507
47,48.0,1.1419548082734958
48,49.0,1.1820244535101936
49,50.0,1.1923372270254367
50,1.0,1.0145091634025951
51,2.0,1.0254460122951683
52,3.0,0.9530870969427319
53,4.0,0.9711297317475597
54,5.0,1.0154723400847232
55,6.0,0.9606078884092988
56,7.0,0.9832828027698258
57,8.0,0.945965309389634
58,9.0,0.9647230538760635
59,10.0,0.9862572113190786
60,11.0,0.9767315341941493
61,12.0,1.0645374020910539
62,13.0,1.0597533886152652
63,14.0,0.958504187034761
64,15.0,1.005859469931566
65,16.0,1.0404057618370655
66,17.0,0.9916189574809113
67,18.0,0.9898088141594124
68,19.0,0.979311905547137
69,20.0,0.9912302951754965
70,21.0,1.0864810383700532
71,22.0,1.106290955491923
72,23.0,1.0545101243972244
73,24.0,1.1308399071317585
74,25.0,1.033017769471562
75,26.0,1.0240292159693871
76,27.0,0.912783870672689
77,28.0,1.0779544151066367
78,29.0,1.0641851144669738
79,30.0,1.1614949745225487
80,31.0,1.1490160631593171
81,32.0,1.1252432028163954
82,33.0,1.1434496204573092
83,34.0,1.0538491099108724
84,35.0,1.1967261418269302
85,36.0,1.140494520657974
86,37.0,1.167640402706898
87,38.0,1.2307428168554064
88,39.0,1.1834275373905565
89,40.0,1.2614903971313594
90,41.0,1.0800778009061252
91,42.0,1.1107801408140738
92,43.0,1.1558890872116396
93,44.0,1.1769900954457868
94,45.0,1.0953089248440284
95,46.0,1.093622929848738
96,47.0,1.1417940859339961
97,48.0,1.2277541793846452
98,49.0,1.212392488194729
99,50.0,1.219387086589214
100,1.0,1.0728953944182946
101,2.0,0.8767479317121734
102,3.0,1.013103494057079
103,4.0,0.8525658117355864
104,5.0,0.9939893728123204
105,6.0,0.953645829915154
106,7.0,1.0361869012112337
107,8.0,0.8959888649152709
108,9.0,1.0065793991739456
109,10.0,1.0325119155588771
110,11.0,0.9764677219056627
111,12.0,0.9369781078762996
